Zone,GPS_point_#,Sample,dried_mass_g,volume_mL,bulk_density_g_cm_3,avg_bulk_density
F3,1,1,51.51,22.5,2.289333333,2.622702381
F3,1,2,41.385,14,2.956071429,2.622702381
F3,2,1,37.909,17,2.229941176,2.566637255
F3,2,2,26.13,9,2.903333333,2.566637255
F3,3,1,123.575,54.666,2.26054586,1.709977184
F3,3,2,59.902,51.666,1.159408508,1.709977184
F3,4,1,62.983,39.333,1.601276282,1.228687352
F3,4,2,33.958,39.666,0.856098422,1.228687352
F3,5,1,129.854,71.333,1.820391684,1.751435568
F3,5,2,122.821,73,1.682479452,1.751435568
F3,6,1,115.841,68.333,1.695242416,1.403061525
F3,6,2,64.801,58.333,1.110880634,1.403061525
F3,7,1,146.313,87.666,1.668982274,1.70853704
F3,7,2,131.689,75.333,1.748091806,1.70853704
F3,8,1,132.477,88.666,1.494112738,1.368337619
F3,8,2,79.524,64,1.2425625,1.368337619
F3,9,1,41.758,41.333,1.010282341,0.850378378
F3,9,2,37.055,53.666,0.690474416,0.850378378
F3,10,1,31.589,47,0.672106383,0.771028191
F3,10,2,52.197,60,0.86995,0.771028191
F3,11,1,56.974,65.666,0.867633174,0.970606573
F3,11,2,80.876,75.333,1.073579972,0.970606573
F3,12,1,73.584,35.5,2.072788732,1.346632001
F3,12,2,31.437,50.666,0.620475269,1.346632001
F3,13,1,49.52,24,2.063333333,2.038848485
F3,13,2,66.474,33,2.014363636,2.038848485
F3,14,1,87.314,75.666,1.153939682,1.0209382
F3,14,2,66.003,74.333,0.887936717,1.0209382
F3,15,1,100.991,83.666,1.207073363,1.161613206
F3,15,2,71.061,63.666,1.116153049,1.161613206
F3,16,1,47.529,56,0.848732143,0.95398975
F3,16,2,84.386,79.666,1.059247358,0.95398975
F3,17,1,58.997,78,0.756371795,0.804822621
F3,17,2,49.774,58.333,0.853273447,0.804822621
F3,18,1,73.472,71,1.034816901,0.971071043
F3,18,2,52.927,58.333,0.907325185,0.971071043
F3,19,1,122.416,74.5,1.643167785,1.696414196
F3,19,2,144.347,82.5,1.749660606,1.696414196
F3,20,1,39.137,47.333,0.826843851,0.785898946
F3,20,2,31.04,41.667,0.74495404,0.785898946
F3,21,1,71.164,41,1.735707317,1.644225752
F3,21,2,33.384,21.5,1.552744186,1.644225752
F3,22,1,80.594,43.5,1.852735632,1.922454773
F3,22,2,68.73,34.5,1.992173913,1.922454773
F3,23,1,54.383,35.5,1.531915493,1.637179969
F3,23,2,23.523,13.5,1.742444444,1.637179969
F3,24,1,26.835,16,1.6771875,1.784123162
F3,24,2,32.148,17,1.891058824,1.784123162
F3,25,1,53.508,27.5,1.945745455,2.004779704
F3,25,2,44.372,21.5,2.063813953,2.004779704
F3,26,1,42.459,46,0.923021739,0.876147233
F3,26,2,18.244,22,0.829272727,0.876147233
F3,27,1,76.798,40,1.91995,1.889308333
F3,27,2,19.516,10.5,1.858666667,1.889308333
F3,28,1,39.83,20.5,1.942926829,1.918645233
F3,28,2,31.257,16.5,1.894363636,1.918645233
F3,29,1,70.127,36.5,1.921287671,1.718983836
F3,29,2,75.834,50,1.51668,1.718983836
F3,30,1,116.293,62,1.875693548,1.936846774
F3,30,2,125.874,63,1.998,1.936846774
F3,31,1,106.929,49,2.18222449,2.295229892
F3,31,2,40.94,17,2.408235294,2.295229892
F3,32,1,70.584,32.5,2.171815385,2.078053147
F3,32,2,54.568,27.5,1.984290909,2.078053147
F3,33,1,65.762,33.5,1.963044776,2.117803638
F3,33,2,36.361,16,2.2725625,2.117803638
F3,34,1,78.467,39,2.011974359,2.078037812
F3,34,2,84.692,39.5,2.144101266,2.078037812
F3,35,1,40.643,27,1.505296296,1.885582214
F3,35,2,103.097,45.5,2.265868132,1.885582214
F3,36,1,,,,
F3,36,2,,,,
F3,37,1,,,,
F3,37,2,,,,
F3,38,1,,,,
F3,38,2,,,,
F3,39,1,,,,
F3,39,2,,,,
F3,40,1,,,,
F3,40,2,,,,
F3,41,1,,,,
F3,41,2,,,,
F3,42,1,,,,
F3,42,2,,,,
F3,43,1,,,,
F3,43,2,,,,
F3,44,1,,,,
F3,44,2,,,,
F3,45,1,,,,
F3,45,2,,,,
F3,46,1,,,,
F3,46,2,,,,
F3,47,1,,,,
F3,47,2,,,,
F3,48,1,,,,
F3,48,2,,,,
F3,49,1,,,,
F3,49,2,,,,
F3,50,1,,,,
F3,50,2,,,,
F1,1,1,26.55,11,2.413636364,1.772818182
F1,1,2,18.112,16,1.132,1.772818182
F1,2,1,20.984,12.5,1.67872,1.649307368
F1,2,2,15.389,9.5,1.619894737,1.649307368
F1,3,1,38.899,21,1.852333333,1.853777778
F1,3,2,16.697,9,1.855222222,1.853777778
F1,4,1,17.211,9.5,1.811684211,1.801730994
F1,4,2,32.252,18,1.791777778,1.801730994
F1,5,1,16.204,9,1.800444444,1.578432749
F1,5,2,12.886,9.5,1.356421053,1.578432749
F1,6,1,31.675,23,1.377173913,1.133369565
F1,6,2,10.23,11.5,0.889565217,1.133369565
F1,7,1,18.053,15.5,1.164709677,1.352629032
F1,7,2,47.757,31,1.540548387,1.352629032
F1,8,1,34.024,24,1.417666667,1.443793333
F1,8,2,36.748,25,1.46992,1.443793333
F1,9,1,42.084,24,1.7535,1.7388
F1,9,2,51.723,30,1.7241,1.7388
F1,10,1,45.51,28,1.625357143,1.471608804
F1,10,2,28.334,21.5,1.317860465,1.471608804
F1,11,1,49.572,32.5,1.525292308,1.603024532
F1,11,2,31.094,18.5,1.680756757,1.603024532
F1,12,1,23.133,30,0.7711,1.76183125
F1,12,2,44.041,16,2.7525625,1.76183125
F1,13,1,62.063,35,1.773228571,1.702959113
F1,13,2,47.348,29,1.632689655,1.702959113
F1,14,1,60.841,34,1.789441176,1.670303922
F1,14,2,27.921,18,1.551166667,1.670303922
F1,15,1,60.365,32.5,1.857384615,1.877805944
F1,15,2,41.761,22,1.898227273,1.877805944
F1,16,1,25.853,13,1.988692308,1.813121154
F1,16,2,65.502,40,1.63755,1.813121154
F1,17,1,23.097,15.5,1.490129032,1.607293683
F1,17,2,41.387,24,1.724458333,1.607293683
F1,18,1,20.717,13.5,1.534592593,1.650187601
F1,18,2,81.226,46,1.765782609,1.650187601
F1,19,1,64.252,36,1.784777778,1.795229798
F1,19,2,39.725,22,1.805681818,1.795229798
F1,20,1,40.916,24,1.704833333,1.363944444
F1,20,2,18.415,18,1.023055556,1.363944444
F1,21,1,35.51,27,1.315185185,1.368564815
F1,21,2,51.19,36,1.421944444,1.368564815
F1,22,1,68.58,40,1.7145,1.502493243
F1,22,2,23.874,18.5,1.290486486,1.502493243
F1,23,1,45.575,31,1.47016129,1.453058423
F1,23,2,32.309,22.5,1.435955556,1.453058423
F1,24,1,48.151,35.5,1.356366197,1.387290241
F1,24,2,59.565,42,1.418214286,1.387290241
F1,25,1,63.353,37,1.712243243,1.590232733
F1,25,2,52.856,36,1.468222222,1.590232733
F1,26,1,97.326,65.5,1.48589313,1.458382929
F1,26,2,39.349,27.5,1.430872727,1.458382929
F1,27,1,116.56,69,1.689275362,1.617364954
F1,27,2,59.5,38.5,1.545454545,1.617364954
F1,28,1,32.736,21.5,1.522604651,1.548211416
F1,28,2,51.936,33,1.573818182,1.548211416
F1,29,1,93.82,52,1.804230769,1.442254274
F1,29,2,19.445,18,1.080277778,1.442254274
F1,30,1,116.876,69.5,1.681669065,1.606334532
F1,30,2,39.806,26,1.531,1.606334532
F1,31,1,67.523,42.5,1.588776471,1.633721569
F1,31,2,60.432,36,1.678666667,1.633721569
F1,32,1,40.053,27,1.483444444,1.518408497
F1,32,2,39.611,25.5,1.553372549,1.518408497
F1,33,1,103.132,64.5,1.598945736,1.541175993
F1,33,2,47.469,32,1.48340625,1.541175993
F1,34,1,63.574,39.5,1.609468354,1.506052359
F1,34,2,30.858,22,1.402636364,1.506052359
F1,35,1,51.592,34,1.517411765,1.477324439
F1,35,2,69.706,48.5,1.437237113,1.477324439
F1,36,1,, ,,
F1,36,2,,,,
F1,37,1,,,,
F1,37,2,,,,
F1,38,1,,,,
F1,38,2,,,,
F1,39,1,,,,
F1,39,2,,,,
F1,40,1,,,,
F1,40,2,,,,
F1,41,1,,,,
F1,41,2,,,,
F1,42,1,,,,
F1,42,2,,,,
F1,43,1,,,,
F1,43,2,,,,
F1,44,1,,,,
F1,44,2,,,,
F1,45,1,,,,
F1,45,2,,,,
F1,46,1,,,,
F1,46,2,,,,
F1,47,1,,,,
F1,47,2,,,,
F1,48,1,,,,
F1,48,2,,,,
F1,49,1,,,,
F1,49,2,,,,
F1,50,1,,,,
F1,50,2,,,,
